nohup: ignoring input
Deepfashion Consumer-to-shop Attribute prediction using single model
arch           is: Resnet152
gpuId          is: 0
init lr        is: 0.001
num_classs     is: 257
batch size     is: 64
input_size     is: 224
relative_path  is: ../Img/
train_path     is: ../NewAnno/list_bbx_image_attr_train.txt
val_path       is: ../NewAnno/list_bbx_image_attr_val.txt
test_path      is: ../NewAnno/list_bbx_image_attr_test.txt
epochs         is: 50
savePath       is: ./checkpoint/BBX/NewAnno
resume         is: 
momentum       is: 0.9
zeroTrain      is: False
weight_decay   is: 0.0005
print_freq     is: 50
Conv_Type      is: 2
Branch         is: 17
Conv_Num       is: 5
Use GPU!
Start training.
Epoch:  0 lr is: [0.001]
        the 0th batch, loss is: 0.77420938   
     the 4250th batch, loss is: 0.15921167   
     the 4300th batch, loss is: 0.15338606   
     the 4350th batch, loss is: 0.1420822    
     the 4400th batch, loss is: 0.14039743   
     the 4450th batch, loss is: 0.12778978   
     the 4500th batch, loss is: 0.14949264   
     the 4550th batch, loss is: 0.13787231   
     the 4600th batch, loss is: 0.13458775   
     the 4650th batch, loss is: 0.15015978   
     the 4700th batch, loss is: 0.13785245   
     the 4750th batch, loss is: 0.13834269   
     the 4800th batch, loss is: 0.14069763   
     the 4850th batch, loss is: 0.1377959    
     the 4900th batch, loss is: 0.14245789   
     the 4950th batch, loss is: 0.13564853   
     the 5000th batch, loss is: 0.13209185   
     the 5050th batch, loss is: 0.12495688   
     the 5100th batch, loss is: 0.1388036    
     the 5150th batch, loss is: 0.14635572   
     the 5200th batch, loss is: 0.11796749   
     the 5250th batch, loss is: 0.13931236   
     the 5300th batch, loss is: 0.16238713   
     the 5350th batch, loss is: 0.12755233   
     the 5400th batch, loss is: 0.14477794   
     the 5450th batch, loss is: 0.13866556   
     the 5500th batch, loss is: 0.15019415   
     the 5550th batch, loss is: 0.1284364    
     the 5600th batch, loss is: 0.14615941   
     the 5650th batch, loss is: 0.14020905   
     the 5700th batch, loss is: 0.14531556   
     the 5750th batch, loss is: 0.13106695   
     the 5800th batch, loss is: 0.12985498   
     the 5850th batch, loss is: 0.14071989   
     the 5900th batch, loss is: 0.14254272   
     the 5950th batch, loss is: 0.13007729   
Epoch:  2 lr is: [0.001]
     the 6000th batch, loss is: 0.14093603   
     the 6050th batch, loss is: 0.13093436   
     the 6100th batch, loss is: 0.14571694   
     the 6150th batch, loss is: 0.12392715   
     the 6200th batch, loss is: 0.14004877   
     the 6250th batch, loss is: 0.12166039   
     the 6300th batch, loss is: 0.13953207   
     the 6350th batch, loss is: 0.13165106   
     the 6400th batch, loss is: 0.13955307   
     the 6450th batch, loss is: 0.12929027   
     the 6500th batch, loss is: 0.1334132    
     the 6550th batch, loss is: 0.13049084   
     the 6600th batch, loss is: 0.13555363   
     the 6650th batch, loss is: 0.13077787   
     the 6700th batch, loss is: 0.14342988   
     the 6750th batch, loss is: 0.13170373   
     the 6800th batch, loss is: 0.14327808   
     the 6850th batch, loss is: 0.1260221    
     the 6900th batch, loss is: 0.12900549   
     the 6950th batch, loss is: 0.1377147    
     the 7000th batch, loss is: 0.13401462   
     the 7050th batch, loss is: 0.14163908   
     the 7100th batch, loss is: 0.1341415    
     the 7150th batch, loss is: 0.1315676    
     the 7200th batch, loss is: 0.15480503   
     the 7250th batch, loss is: 0.12791662   
     the 7300th batch, loss is: 0.13718086   
     the 7350th batch, loss is: 0.13727826   
     the 7400th batch, loss is: 0.13303746   
     the 7450th batch, loss is: 0.12219539   
     the 7500th batch, loss is: 0.15373993   
     the 7550th batch, loss is: 0.13989663   
     the 7600th batch, loss is: 0.13855687   
     the 7650th batch, loss is: 0.12052549   
     the 7700th batch, loss is: 0.11572825   
     the 7750th batch, loss is: 0.14021397   
     the 7800th batch, loss is: 0.14896308   
     the 7850th batch, loss is: 0.14611275   
     the 7900th batch, loss is: 0.12503311   
     the 7950th batch, loss is: 0.13002241   
     the 8000th batch, loss is: 0.12816449   
     the 8050th batch, loss is: 0.13062921   
     the 8100th batch, loss is: 0.16281433   
     the 8150th batch, loss is: 0.1411908    
     the 8200th batch, loss is: 0.13953343   
     the 8250th batch, loss is: 0.14744356   
     the 8300th batch, loss is: 0.14347337   
     the 8350th batch, loss is: 0.14441837   
     the 8400th batch, loss is: 0.12824032   
     the 8450th batch, loss is: 0.14345312   
     the 8500th batch, loss is: 0.13467857   
     the 8550th batch, loss is: 0.15011558   
     the 8600th batch, loss is: 0.13435626   
     the 8650th batch, loss is: 0.12881076   
     the 8700th batch, loss is: 0.12249896   
     the 8750th batch, loss is: 0.13877772   
     the 8800th batch, loss is: 0.1287117    
     the 8850th batch, loss is: 0.15652469   
     the 8900th batch, loss is: 0.11717548   
     the 8950th batch, loss is: 0.13057671   
Epoch:  3 lr is: [0.001]
     the 9000th batch, loss is: 0.13456476   
     the 9050th batch, loss is: 0.11807794   
     the 9100th batch, loss is: 0.12219153   
     the 9150th batch, loss is: 0.1344872    
     the 9200th batch, loss is: 0.12045858   
     the 9250th batch, loss is: 0.14369652   
     the 9300th batch, loss is: 0.13673632   
     the 9350th batch, loss is: 0.123427     
     the 9400th batch, loss is: 0.13030076   
     the 9450th batch, loss is: 0.12791087   
     the 9500th batch, loss is: 0.13078333   
     the 9550th batch, loss is: 0.12801419   
     the 9600th batch, loss is: 0.12838914   
     the 9650th batch, loss is: 0.1323061    
     the 9700th batch, loss is: 0.12559682   
     the 9750th batch, loss is: 0.12935184   
     the 9800th batch, loss is: 0.12898983   
     the 9850th batch, loss is: 0.12454855   
     the 9900th batch, loss is: 0.14024375   
     the 9950th batch, loss is: 0.13724172   
    the 10000th batch, loss is: 0.13211446   
    the 10050th batch, loss is: 0.12363755   
    the 10100th batch, loss is: 0.12828743   
    the 10150th batch, loss is: 0.13417491   
    the 10200th batch, loss is: 0.14106433   
    the 10250th batch, loss is: 0.13775237   
    the 10300th batch, loss is: 0.13596162   
    the 10350th batch, loss is: 0.10603539   
    the 10400th batch, loss is: 0.11146498   
    the 10450th batch, loss is: 0.14091378   
    the 10500th batch, loss is: 0.12344609   
    the 10550th batch, loss is: 0.12846111   
    the 10600th batch, loss is: 0.13488784   
    the 10650th batch, loss is: 0.14019224   
    the 10700th batch, loss is: 0.12962122   
    the 10750th batch, loss is: 0.13855341   
    the 10800th batch, loss is: 0.12223229   
    the 10850th batch, loss is: 0.11770993   
    the 10900th batch, loss is: 0.11781629   
    the 10950th batch, loss is: 0.13909462   
    the 11000th batch, loss is: 0.13994105   
    the 11050th batch, loss is: 0.13715647   
    the 11100th batch, loss is: 0.12343296   
    the 11150th batch, loss is: 0.15835659   
    the 11200th batch, loss is: 0.1282002    
    the 11250th batch, loss is: 0.13918178   
    the 11300th batch, loss is: 0.11901132   
    the 11350th batch, loss is: 0.1326004    
    the 11400th batch, loss is: 0.12911557   
    the 11450th batch, loss is: 0.12358862   
    the 11500th batch, loss is: 0.13362299   
    the 11550th batch, loss is: 0.13769278   
    the 11600th batch, loss is: 0.12827821   
    the 11650th batch, loss is: 0.13107049   
    the 11700th batch, loss is: 0.13247076   
    the 11750th batch, loss is: 0.12964179   
    the 11800th batch, loss is: 0.12543216   
    the 11850th batch, loss is: 0.12784263   
    the 11900th batch, loss is: 0.11965428   
    the 11950th batch, loss is: 0.15097031   
Epoch:  4 lr is: [0.001]
    the 12000th batch, loss is: 0.14635804   
    the 12050th batch, loss is: 0.11959907   
    the 12100th batch, loss is: 0.12647633   
    the 12150th batch, loss is: 0.11548509   
    the 12200th batch, loss is: 0.13936751   
    the 12250th batch, loss is: 0.13349581   
    the 12300th batch, loss is: 0.1334087    
    the 12350th batch, loss is: 0.12050254   
    the 12400th batch, loss is: 0.12875211   
    the 12450th batch, loss is: 0.11952809   
    the 12500th batch, loss is: 0.12604916   
    the 12550th batch, loss is: 0.11841312   
    the 12600th batch, loss is: 0.13980322   
    the 12650th batch, loss is: 0.12324356   
    the 12700th batch, loss is: 0.1219428    
    the 12750th batch, loss is: 0.1458579    
    the 12800th batch, loss is: 0.13163272   
    the 12850th batch, loss is: 0.14198259   
    the 12900th batch, loss is: 0.12787621   
    the 12950th batch, loss is: 0.13430105   
    the 13000th batch, loss is: 0.13812737   
    the 13050th batch, loss is: 0.11199416   
    the 13100th batch, loss is: 0.13234855   
    the 13150th batch, loss is: 0.1244288    
    the 13200th batch, loss is: 0.12116408   
    the 13250th batch, loss is: 0.13175109   
    the 13300th batch, loss is: 0.13102873   
    the 13350th batch, loss is: 0.11671295   
    the 13400th batch, loss is: 0.13141498   
    the 13450th batch, loss is: 0.12883575   
    the 13500th batch, loss is: 0.13034986   
    the 13550th batch, loss is: 0.1183934    
    the 13600th batch, loss is: 0.1244489    
    the 13650th batch, loss is: 0.13674863   
    the 13700th batch, loss is: 0.12119771   
    the 13750th batch, loss is: 0.13965112   
    the 13800th batch, loss is: 0.13018738   
    the 13850th batch, loss is: 0.11463443   
    the 13900th batch, loss is: 0.13353275   
    the 13950th batch, loss is: 0.11844336   
    the 14000th batch, loss is: 0.13337411   
    the 14050th batch, loss is: 0.13076642   
    the 14100th batch, loss is: 0.15726636   
    the 14150th batch, loss is: 0.12253091   
    the 14200th batch, loss is: 0.12890564   
    the 14250th batch, loss is: 0.12513834   
    the 14300th batch, loss is: 0.14859244   
    the 14350th batch, loss is: 0.12453038   
    the 14400th batch, loss is: 0.13085487   
    the 14450th batch, loss is: 0.1194646    
    the 14500th batch, loss is: 0.13121799   
    the 14550th batch, loss is: 0.13077895   
    the 14600th batch, loss is: 0.14774075   
    the 14650th batch, loss is: 0.1378493    
    the 14700th batch, loss is: 0.12269808   
    the 14750th batch, loss is: 0.14401121   
    the 14800th batch, loss is: 0.11832044   
    the 14850th batch, loss is: 0.13460858   
    the 14900th batch, loss is: 0.13637738   
    the 14950th batch, loss is: 0.1303492    
Epoch:  5 lr is: [0.001]
    the 15000th batch, loss is: 0.12279972   
    the 15050th batch, loss is: 0.11499418   
    the 15100th batch, loss is: 0.11620849   
    the 15150th batch, loss is: 0.13678308   
    the 15200th batch, loss is: 0.12989511   
    the 15250th batch, loss is: 0.14004566   
    the 15300th batch, loss is: 0.12779504   
    the 15350th batch, loss is: 0.12894821   
    the 15400th batch, loss is: 0.13295841   
    the 15450th batch, loss is: 0.12560506   
    the 15500th batch, loss is: 0.11662485   
    the 15550th batch, loss is: 0.13262962   
    the 15600th batch, loss is: 0.12189169   
    the 15650th batch, loss is: 0.12552783   
    the 15700th batch, loss is: 0.12857245   
    the 15750th batch, loss is: 0.11891336   
    the 15800th batch, loss is: 0.12178126   
    the 15850th batch, loss is: 0.12592651   
    the 15900th batch, loss is: 0.12623627   
    the 15950th batch, loss is: 0.12755761   
    the 16000th batch, loss is: 0.12366933   
    the 16050th batch, loss is: 0.12271821   
    the 16100th batch, loss is: 0.14836788   
    the 16150th batch, loss is: 0.14332369   
    the 16200th batch, loss is: 0.11781114   
    the 16250th batch, loss is: 0.1261486    
    the 16300th batch, loss is: 0.12375407   
    the 16350th batch, loss is: 0.11898315   
    the 16400th batch, loss is: 0.11602161   
    the 16450th batch, loss is: 0.11722447   
    the 16500th batch, loss is: 0.13377091   
    the 16550th batch, loss is: 0.12669365   
    the 16600th batch, loss is: 0.14148495   
    the 16650th batch, loss is: 0.12682948   
    the 16700th batch, loss is: 0.15243873   
    the 16750th batch, loss is: 0.11971918   
    the 16800th batch, loss is: 0.12607042   
    the 16850th batch, loss is: 0.11777235   
    the 16900th batch, loss is: 0.12626331   
    the 16950th batch, loss is: 0.11929331   
    the 17000th batch, loss is: 0.1247712    
    the 17050th batch, loss is: 0.13586347   
    the 17100th batch, loss is: 0.13358626   
    the 17150th batch, loss is: 0.12892564   
    the 17200th batch, loss is: 0.11251534   
    the 17250th batch, loss is: 0.11523053   
    the 17300th batch, loss is: 0.13254246   
    the 17350th batch, loss is: 0.1196744    
    the 17400th batch, loss is: 0.14166097   
    the 17450th batch, loss is: 0.12287452   
    the 17500th batch, loss is: 0.1243998    
    the 17550th batch, loss is: 0.11667897   
    the 17600th batch, loss is: 0.11823563   
    the 17650th batch, loss is: 0.12794016   
    the 17700th batch, loss is: 0.12274956   
    the 17750th batch, loss is: 0.13172802   
    the 17800th batch, loss is: 0.13133441   
    the 17850th batch, loss is: 0.12872113   
    the 17900th batch, loss is: 0.13815998   
    the 17950th batch, loss is: 0.12206667   
Epoch:  6 lr is: [0.001]
    the 18000th batch, loss is: 0.11605719   
    the 18050th batch, loss is: 0.12040616   
    the 18100th batch, loss is: 0.14191152   
    the 18150th batch, loss is: 0.12729856   
    the 18200th batch, loss is: 0.11946764   
    the 18250th batch, loss is: 0.13618295   
    the 18300th batch, loss is: 0.11906946   
    the 18350th batch, loss is: 0.11733463   
    the 18400th batch, loss is: 0.11600278   
    the 18450th batch, loss is: 0.11824387   
    the 18500th batch, loss is: 0.13078633   
    the 18550th batch, loss is: 0.11776593   
    the 18600th batch, loss is: 0.12613715   
    the 18650th batch, loss is: 0.119838     
    the 18700th batch, loss is: 0.12917413   
    the 18750th batch, loss is: 0.12829082   
    the 18800th batch, loss is: 0.12332418   
    the 18850th batch, loss is: 0.14020659   
    the 18900th batch, loss is: 0.133959     
    the 18950th batch, loss is: 0.11778858   
    the 19000th batch, loss is: 0.12779488   
    the 19050th batch, loss is: 0.13135746   
    the 19100th batch, loss is: 0.13125186   
    the 19150th batch, loss is: 0.12585418   
    the 19200th batch, loss is: 0.11126485   
    the 19250th batch, loss is: 0.1224281    
    the 19300th batch, loss is: 0.11706354   
    the 19350th batch, loss is: 0.11831409   
    the 19400th batch, loss is: 0.12886475   
    the 19450th batch, loss is: 0.115854     
    the 19500th batch, loss is: 0.12550829   
    the 19550th batch, loss is: 0.11289736   
    the 19600th batch, loss is: 0.13440655   
    the 19650th batch, loss is: 0.13048503   
    the 19700th batch, loss is: 0.11791243   
    the 19750th batch, loss is: 0.11095911   
    the 19800th batch, loss is: 0.13468716   
    the 19850th batch, loss is: 0.12410569   
    the 19900th batch, loss is: 0.12279463   
    the 19950th batch, loss is: 0.13139525   
    the 20000th batch, loss is: 0.12957302   
    the 20050th batch, loss is: 0.12474608   
    the 20100th batch, loss is: 0.13774018   
    the 20150th batch, loss is: 0.11688418   
    the 20200th batch, loss is: 0.13129844   
    the 20250th batch, loss is: 0.14000869   
    the 20300th batch, loss is: 0.12167465   
    the 20350th batch, loss is: 0.12135465   
    the 20400th batch, loss is: 0.12137518   
    the 20450th batch, loss is: 0.11651731   
    the 20500th batch, loss is: 0.12308953   
    the 20550th batch, loss is: 0.14326735   
    the 20600th batch, loss is: 0.12805043   
    the 20650th batch, loss is: 0.11656534   
    the 20700th batch, loss is: 0.12923701   
    the 20750th batch, loss is: 0.1203253    
    the 20800th batch, loss is: 0.12619637   
    the 20850th batch, loss is: 0.11924036   
    the 20900th batch, loss is: 0.12155446   
    the 20950th batch, loss is: 0.12776268   
Epoch:  7 lr is: [0.001]
    the 21000th batch, loss is: 0.1233589    
    the 21050th batch, loss is: 0.12839296   
    the 21100th batch, loss is: 0.12318361   
    the 21150th batch, loss is: 0.11136701   
    the 21200th batch, loss is: 0.1215746    
    the 21250th batch, loss is: 0.11828362   
    the 21300th batch, loss is: 0.11490089   
    the 21350th batch, loss is: 0.13118878   
    the 21400th batch, loss is: 0.12442081   
    the 21450th batch, loss is: 0.1237008    
    the 21500th batch, loss is: 0.12587188   
    the 21550th batch, loss is: 0.10925154   
    the 21600th batch, loss is: 0.11497258   
    the 21650th batch, loss is: 0.12150852   
    the 21700th batch, loss is: 0.1291829    
    the 21750th batch, loss is: 0.13189171   
    the 21800th batch, loss is: 0.12953183   
    the 21850th batch, loss is: 0.11647744   
    the 21900th batch, loss is: 0.12455543   
    the 21950th batch, loss is: 0.13001142   
    the 22000th batch, loss is: 0.10160527   
    the 22050th batch, loss is: 0.10925523   
    the 22100th batch, loss is: 0.12386439   
    the 22150th batch, loss is: 0.12224694   
    the 22200th batch, loss is: 0.10932367   
    the 22250th batch, loss is: 0.11534517   
    the 22300th batch, loss is: 0.12119158   
    the 22350th batch, loss is: 0.11314265   
    the 22400th batch, loss is: 0.13473737   
    the 22450th batch, loss is: 0.11998952   
    the 22500th batch, loss is: 0.12096389   
    the 22550th batch, loss is: 0.123207     
    the 22600th batch, loss is: 0.11702561   
    the 22650th batch, loss is: 0.12428527   
    the 22700th batch, loss is: 0.12061882   
    the 22750th batch, loss is: 0.12424247   
    the 22800th batch, loss is: 0.11606187   
    the 22850th batch, loss is: 0.13062622   
    the 22900th batch, loss is: 0.13980244   
    the 22950th batch, loss is: 0.11621342   
    the 23000th batch, loss is: 0.134592     
    the 23050th batch, loss is: 0.11930802   
    the 23100th batch, loss is: 0.12530026   
    the 23150th batch, loss is: 0.13898434   
    the 23200th batch, loss is: 0.13450611   
    the 23250th batch, loss is: 0.1263418    
    the 23300th batch, loss is: 0.14070803   
    the 23350th batch, loss is: 0.10803067   
    the 23400th batch, loss is: 0.11755054   
    the 23450th batch, loss is: 0.12417675   
    the 23500th batch, loss is: 0.12426545   
    the 23550th batch, loss is: 0.12394014   
    the 23600th batch, loss is: 0.12536621   
    the 23650th batch, loss is: 0.12007081   
    the 23700th batch, loss is: 0.12281327   
    the 23750th batch, loss is: 0.13369441   
    the 23800th batch, loss is: 0.14857416   
    the 23850th batch, loss is: 0.11638882   
    the 23900th batch, loss is: 0.1417888    
    the 23950th batch, loss is: 0.11451113   
Epoch:  8 lr is: [0.001]
    the 24000th batch, loss is: 0.11941443   
    the 24050th batch, loss is: 0.11710724   
    the 24100th batch, loss is: 0.10940867   
    the 24150th batch, loss is: 0.11988775   
    the 24200th batch, loss is: 0.13113025   
    the 24250th batch, loss is: 0.10445034   
    the 24300th batch, loss is: 0.12233346   
    the 24350th batch, loss is: 0.12734227   
    the 24400th batch, loss is: 0.10979954   
    the 24450th batch, loss is: 0.12881957   
    the 24500th batch, loss is: 0.12189993   
    the 24550th batch, loss is: 0.11303707   
    the 24600th batch, loss is: 0.11056339   
    the 24650th batch, loss is: 0.13568643   
    the 24700th batch, loss is: 0.12052298   
    the 24750th batch, loss is: 0.11867876   
    the 24800th batch, loss is: 0.12178534   
    the 24850th batch, loss is: 0.11412662   
    the 24900th batch, loss is: 0.12579818   
    the 24950th batch, loss is: 0.1272956    
    the 25000th batch, loss is: 0.11804105   
    the 25050th batch, loss is: 0.12000375   
    the 25100th batch, loss is: 0.12241238   
    the 25150th batch, loss is: 0.13025036   
    the 25200th batch, loss is: 0.12065226   
    the 25250th batch, loss is: 0.12016505   
    the 25300th batch, loss is: 0.11884384   
    the 25350th batch, loss is: 0.13078192   
    the 25400th batch, loss is: 0.11485855   
    the 25450th batch, loss is: 0.11505565   
    the 25500th batch, loss is: 0.12331945   
    the 25550th batch, loss is: 0.13171211   
    the 25600th batch, loss is: 0.12896316   
    the 25650th batch, loss is: 0.11691698   
    the 25700th batch, loss is: 0.11633109   
    the 25750th batch, loss is: 0.119881     
    the 25800th batch, loss is: 0.11820335   
    the 25850th batch, loss is: 0.12705472   
    the 25900th batch, loss is: 0.11419989   
    the 25950th batch, loss is: 0.11771994   
    the 26000th batch, loss is: 0.11539248   
    the 26050th batch, loss is: 0.12298094   
    the 26100th batch, loss is: 0.12945311   
    the 26150th batch, loss is: 0.11016747   
    the 26200th batch, loss is: 0.12742189   
    the 26250th batch, loss is: 0.11247419   
    the 26300th batch, loss is: 0.12802438   
    the 26350th batch, loss is: 0.11931227   
    the 26400th batch, loss is: 0.12889159   
    the 26450th batch, loss is: 0.11899539   
    the 26500th batch, loss is: 0.12954822   
    the 26550th batch, loss is: 0.12823163   
    the 26600th batch, loss is: 0.11449733   
    the 26650th batch, loss is: 0.13365087   
    the 26700th batch, loss is: 0.11578042   
    the 26750th batch, loss is: 0.12270739   
    the 26800th batch, loss is: 0.11510458   
    the 26850th batch, loss is: 0.13461931   
    the 26900th batch, loss is: 0.12147406   
    the 26950th batch, loss is: 0.11771439   
Epoch:  9 lr is: [0.001]
    the 27000th batch, loss is: 0.11162629   
    the 27050th batch, loss is: 0.11139146   
    the 27100th batch, loss is: 0.11446496   
    the 27150th batch, loss is: 0.12012282   
    the 27200th batch, loss is: 0.13024791   
    the 27250th batch, loss is: 0.12780753   
    the 27300th batch, loss is: 0.11467016   
    the 27350th batch, loss is: 0.1118699    
    the 27400th batch, loss is: 0.11722527   
    the 27450th batch, loss is: 0.12776256   
    the 27500th batch, loss is: 0.13121703   
    the 27550th batch, loss is: 0.11070988   
    the 27600th batch, loss is: 0.12059645   
    the 27650th batch, loss is: 0.11264001   
    the 27700th batch, loss is: 0.11073951   
    the 27750th batch, loss is: 0.1122792    
    the 27800th batch, loss is: 0.12353701   
    the 27850th batch, loss is: 0.13076246   
    the 27900th batch, loss is: 0.11204063   
    the 27950th batch, loss is: 0.11571566   
    the 28000th batch, loss is: 0.12506223   
    the 28050th batch, loss is: 0.12514895   
    the 28100th batch, loss is: 0.12151836   
    the 28150th batch, loss is: 0.11724108   
    the 28200th batch, loss is: 0.11224452   
    the 28250th batch, loss is: 0.11739108   
    the 28300th batch, loss is: 0.12098226   
    the 28350th batch, loss is: 0.11091755   
    the 28400th batch, loss is: 0.11303599   
    the 28450th batch, loss is: 0.13527684   
    the 28500th batch, loss is: 0.10284913   
    the 28550th batch, loss is: 0.10494278   
    the 28600th batch, loss is: 0.11805067   
    the 28650th batch, loss is: 0.10796637   
    the 28700th batch, loss is: 0.12970221   
    the 28750th batch, loss is: 0.11071376   
    the 28800th batch, loss is: 0.1352095    
    the 28850th batch, loss is: 0.13196038   
    the 28900th batch, loss is: 0.11774339   
    the 28950th batch, loss is: 0.11964572   
    the 29000th batch, loss is: 0.12862712   
    the 29050th batch, loss is: 0.11129227   
    the 29100th batch, loss is: 0.11500686   
    the 29150th batch, loss is: 0.10632458   
    the 29200th batch, loss is: 0.11283132   
    the 29250th batch, loss is: 0.12375011   
    the 29300th batch, loss is: 0.10904215   
    the 29350th batch, loss is: 0.12418745   
    the 29400th batch, loss is: 0.11360642   
    the 29450th batch, loss is: 0.11687327   
    the 29500th batch, loss is: 0.11674302   
    the 29550th batch, loss is: 0.11335854   
    the 29600th batch, loss is: 0.11259099   
    the 29650th batch, loss is: 0.12412475   
    the 29700th batch, loss is: 0.12052641   
    the 29750th batch, loss is: 0.11485397   
    the 29800th batch, loss is: 0.1280847    
    the 29850th batch, loss is: 0.10890035   
    the 29900th batch, loss is: 0.12375005   
Epoch:  10 lr is: [0.001]
    the 29950th batch, loss is: 0.11643931   
    the 30000th batch, loss is: 0.10658319   
    the 30050th batch, loss is: 0.13092974   
    the 30100th batch, loss is: 0.132817     
    the 30150th batch, loss is: 0.12410716   
    the 30200th batch, loss is: 0.11689356   
    the 30250th batch, loss is: 0.12016167   
    the 30300th batch, loss is: 0.11670075   
    the 30350th batch, loss is: 0.12047847   
    the 30400th batch, loss is: 0.11748692   
    the 30450th batch, loss is: 0.11318473   
    the 30500th batch, loss is: 0.13517247   
    the 30550th batch, loss is: 0.11414586   
    the 30600th batch, loss is: 0.11476906   
    the 30650th batch, loss is: 0.11603613   
    the 30700th batch, loss is: 0.10699147   
    the 30750th batch, loss is: 0.12043451   
    the 30800th batch, loss is: 0.12260678   
    the 30850th batch, loss is: 0.11893819   
    the 30900th batch, loss is: 0.11604305   
    the 30950th batch, loss is: 0.11106245   
    the 31000th batch, loss is: 0.13363901   
    the 31050th batch, loss is: 0.12412011   
    the 31100th batch, loss is: 0.11049746   
    the 31150th batch, loss is: 0.11607756   
    the 31200th batch, loss is: 0.11184338   
