nohup: ignoring input
Deepfashion Consumer-to-shop Attribute prediction using single model
arch           is: Resnet152
gpuId          is: 1
init lr        is: 0.001
num_classs     is: 257
batch size     is: 64
input_size     is: 224
relative_path  is: ../Img/
train_path     is: ../NewAnno/list_bbx_image_attr_train.txt
val_path       is: ../NewAnno/list_bbx_image_attr_val.txt
test_path      is: ../NewAnno/list_bbx_image_attr_test.txt
epochs         is: 50
savePath       is: ./checkpoint/BBX/NewAnnoCleaned
resume         is: 
momentum       is: 0.9
zeroTrain      is: False
weight_decay   is: 0.0005
print_freq     is: 50
Conv_Type      is: 2
Branch         is: 17
Conv_Num       is: 5
Use GPU!
Start training.
('Epoch: ', 0, 'lr is: [0.001]')
        the 0th batch, loss is: 1.19982612   
     the 6000th batch, loss is: 0.29737145   
     the 6050th batch, loss is: 0.29965913   
     the 6100th batch, loss is: 0.31900284   
     the 6150th batch, loss is: 0.33695436   
     the 6200th batch, loss is: 0.35443491   
     the 6250th batch, loss is: 0.30607036   
     the 6300th batch, loss is: 0.31888124   
     the 6350th batch, loss is: 0.3213999    
     the 6400th batch, loss is: 0.30253547   
     the 6450th batch, loss is: 0.33967265   
     the 6500th batch, loss is: 0.30618024   
     the 6550th batch, loss is: 0.29369023   
     the 6600th batch, loss is: 0.27852872   
     the 6650th batch, loss is: 0.31803665   
     the 6700th batch, loss is: 0.30807969   
     the 6750th batch, loss is: 0.2897085    
     the 6800th batch, loss is: 0.28588787   
     the 6850th batch, loss is: 0.29549861   
     the 6900th batch, loss is: 0.33022356   
     the 6950th batch, loss is: 0.29212591   
     the 7000th batch, loss is: 0.29227871   
     the 7050th batch, loss is: 0.26852992   
     the 7100th batch, loss is: 0.34946716   
     the 7150th batch, loss is: 0.34400758   
     the 7200th batch, loss is: 0.29362333   
     the 7250th batch, loss is: 0.34318843   
     the 7300th batch, loss is: 0.33503354   
     the 7350th batch, loss is: 0.29611436   
     the 7400th batch, loss is: 0.29209051   
     the 7450th batch, loss is: 0.34607095   
     the 7500th batch, loss is: 0.35129616   
     the 7550th batch, loss is: 0.33982047   
     the 7600th batch, loss is: 0.3173545    
     the 7650th batch, loss is: 0.2904447    
     the 7700th batch, loss is: 0.32766435   
     the 7750th batch, loss is: 0.36253351   
     the 7800th batch, loss is: 0.35191363   
     the 7850th batch, loss is: 0.3132166    
     the 7900th batch, loss is: 0.31094348   
     the 7950th batch, loss is: 0.31671754   
     the 8000th batch, loss is: 0.33397201   
     the 8050th batch, loss is: 0.28261629   
     the 8100th batch, loss is: 0.34126735   
     the 8150th batch, loss is: 0.26570261   
     the 8200th batch, loss is: 0.32459742   
     the 8250th batch, loss is: 0.3658815    
     the 8300th batch, loss is: 0.3155987    
     the 8350th batch, loss is: 0.31606841   
     the 8400th batch, loss is: 0.3000665    
     the 8450th batch, loss is: 0.32416505   
     the 8500th batch, loss is: 0.30969697   
     the 8550th batch, loss is: 0.32964167   
     the 8600th batch, loss is: 0.29211414   
     the 8650th batch, loss is: 0.35074005   
     the 8700th batch, loss is: 0.33142754   
     the 8750th batch, loss is: 0.33143008   
     the 8800th batch, loss is: 0.30596828   
     the 8850th batch, loss is: 0.34866858   
     the 8900th batch, loss is: 0.34226561   
     the 8950th batch, loss is: 0.32568842   
('Epoch: ', 3, 'lr is: [0.001]')
     the 9000th batch, loss is: 0.300789     
     the 9050th batch, loss is: 0.31772351   
     the 9100th batch, loss is: 0.30785468   
     the 9150th batch, loss is: 0.30908051   
     the 9200th batch, loss is: 0.27373004   
     the 9250th batch, loss is: 0.28949133   
     the 9300th batch, loss is: 0.30292597   
     the 9350th batch, loss is: 0.32938263   
     the 9400th batch, loss is: 0.29993752   
     the 9450th batch, loss is: 0.27887136   
     the 9500th batch, loss is: 0.31320289   
     the 9550th batch, loss is: 0.30784953   
     the 9600th batch, loss is: 0.24388859   
     the 9650th batch, loss is: 0.2773121    
     the 9700th batch, loss is: 0.28081381   
     the 9750th batch, loss is: 0.31218883   
     the 9800th batch, loss is: 0.25517312   
     the 9850th batch, loss is: 0.26321989   
     the 9900th batch, loss is: 0.30883577   
     the 9950th batch, loss is: 0.33471298   
    the 10000th batch, loss is: 0.29410675   
    the 10050th batch, loss is: 0.31670082   
    the 10100th batch, loss is: 0.28281701   
    the 10150th batch, loss is: 0.27447963   
    the 10200th batch, loss is: 0.29491514   
    the 10250th batch, loss is: 0.26823485   
    the 10300th batch, loss is: 0.28926149   
    the 10350th batch, loss is: 0.26888821   
    the 10400th batch, loss is: 0.27311674   
    the 10450th batch, loss is: 0.32333168   
    the 10500th batch, loss is: 0.32359436   
    the 10550th batch, loss is: 0.31386027   
    the 10600th batch, loss is: 0.27248865   
    the 10650th batch, loss is: 0.32983628   
    the 10700th batch, loss is: 0.25988695   
    the 10750th batch, loss is: 0.30985177   
    the 10800th batch, loss is: 0.29253754   
    the 10850th batch, loss is: 0.28361186   
    the 10900th batch, loss is: 0.32810366   
    the 10950th batch, loss is: 0.36076093   
    the 11000th batch, loss is: 0.32768288   
    the 11050th batch, loss is: 0.30410716   
    the 11100th batch, loss is: 0.28704777   
    the 11150th batch, loss is: 0.29588696   
    the 11200th batch, loss is: 0.30258375   
    the 11250th batch, loss is: 0.25886884   
    the 11300th batch, loss is: 0.27406213   
    the 11350th batch, loss is: 0.27081114   
    the 11400th batch, loss is: 0.28824604   
    the 11450th batch, loss is: 0.29008919   
    the 11500th batch, loss is: 0.27606943   
    the 11550th batch, loss is: 0.33177343   
    the 11600th batch, loss is: 0.315577     
    the 11650th batch, loss is: 0.31917134   
    the 11700th batch, loss is: 0.27452829   
    the 11750th batch, loss is: 0.34707186   
    the 11800th batch, loss is: 0.32904711   
    the 11850th batch, loss is: 0.3113969    
    the 11900th batch, loss is: 0.29140082   
    the 11950th batch, loss is: 0.28339061   
('Epoch: ', 4, 'lr is: [0.001]')
    the 12000th batch, loss is: 0.27824095   
    the 12050th batch, loss is: 0.31427723   
    the 12100th batch, loss is: 0.27657872   
    the 12150th batch, loss is: 0.30205551   
    the 12200th batch, loss is: 0.28027958   
    the 12250th batch, loss is: 0.27529389   
    the 12300th batch, loss is: 0.24113829   
    the 12350th batch, loss is: 0.2990213    
    the 12400th batch, loss is: 0.27934363   
    the 12450th batch, loss is: 0.27811649   
    the 12500th batch, loss is: 0.2853539    
    the 12550th batch, loss is: 0.2629652    
    the 12600th batch, loss is: 0.30882958   
    the 12650th batch, loss is: 0.25339162   
    the 12700th batch, loss is: 0.27568623   
    the 12750th batch, loss is: 0.29828727   
    the 12800th batch, loss is: 0.27852818   
    the 12850th batch, loss is: 0.3084833    
    the 12900th batch, loss is: 0.28689265   
    the 12950th batch, loss is: 0.23359719   
    the 13000th batch, loss is: 0.27901745   
    the 13050th batch, loss is: 0.27580228   
    the 13100th batch, loss is: 0.24795365   
    the 13150th batch, loss is: 0.2903685    
    the 13200th batch, loss is: 0.26334253   
    the 13250th batch, loss is: 0.31035459   
    the 13300th batch, loss is: 0.28024575   
    the 13350th batch, loss is: 0.26759416   
    the 13400th batch, loss is: 0.26932755   
    the 13450th batch, loss is: 0.27430341   
    the 13500th batch, loss is: 0.31739545   
    the 13550th batch, loss is: 0.2498872    
    the 13600th batch, loss is: 0.27322048   
    the 13650th batch, loss is: 0.2912398    
    the 13700th batch, loss is: 0.27533805   
    the 13750th batch, loss is: 0.24976149   
    the 13800th batch, loss is: 0.25707424   
    the 13850th batch, loss is: 0.26712728   
    the 13900th batch, loss is: 0.2734248    
    the 13950th batch, loss is: 0.26440579   
    the 14000th batch, loss is: 0.28539279   
    the 14050th batch, loss is: 0.3618871    
    the 14100th batch, loss is: 0.25294575   
    the 14150th batch, loss is: 0.25776258   
    the 14200th batch, loss is: 0.2730355    
    the 14250th batch, loss is: 0.29385021   
    the 14300th batch, loss is: 0.28334984   
    the 14350th batch, loss is: 0.28143689   
    the 14400th batch, loss is: 0.29788262   
    the 14450th batch, loss is: 0.25558132   
    the 14500th batch, loss is: 0.28198233   
    the 14550th batch, loss is: 0.29346925   
    the 14600th batch, loss is: 0.30858427   
    the 14650th batch, loss is: 0.26818421   
    the 14700th batch, loss is: 0.29043058   
    the 14750th batch, loss is: 0.27476382   
    the 14800th batch, loss is: 0.27242059   
    the 14850th batch, loss is: 0.2570926    
    the 14900th batch, loss is: 0.30393428   
    the 14950th batch, loss is: 0.30352288   
('Epoch: ', 5, 'lr is: [0.001]')
    the 15000th batch, loss is: 0.26595828   
    the 15050th batch, loss is: 0.25569603   
    the 15100th batch, loss is: 0.26529092   
    the 15150th batch, loss is: 0.28914195   
    the 15200th batch, loss is: 0.29305938   
    the 15250th batch, loss is: 0.24167998   
    the 15300th batch, loss is: 0.25114214   
    the 15350th batch, loss is: 0.25553676   
    the 15400th batch, loss is: 0.21848369   
    the 15450th batch, loss is: 0.26322219   
    the 15500th batch, loss is: 0.28217056   
    the 15550th batch, loss is: 0.2715795    
    the 15600th batch, loss is: 0.23165479   
    the 15650th batch, loss is: 0.25710371   
    the 15700th batch, loss is: 0.26964894   
    the 15750th batch, loss is: 0.23511626   
    the 15800th batch, loss is: 0.25146252   
    the 15850th batch, loss is: 0.25460088   
    the 15900th batch, loss is: 0.27398807   
    the 15950th batch, loss is: 0.29669526   
    the 16000th batch, loss is: 0.23943147   
    the 16050th batch, loss is: 0.23148975   
    the 16100th batch, loss is: 0.21350291   
    the 16150th batch, loss is: 0.26990813   
    the 16200th batch, loss is: 0.24329129   
    the 16250th batch, loss is: 0.26131171   
    the 16300th batch, loss is: 0.27776816   
    the 16350th batch, loss is: 0.24692059   
    the 16400th batch, loss is: 0.27802911   
    the 16450th batch, loss is: 0.25789323   
    the 16500th batch, loss is: 0.29060152   
    the 16550th batch, loss is: 0.22495112   
    the 16600th batch, loss is: 0.25951841   
    the 16650th batch, loss is: 0.26917273   
    the 16700th batch, loss is: 0.27485338   
    the 16750th batch, loss is: 0.26560366   
    the 16800th batch, loss is: 0.23690121   
    the 16850th batch, loss is: 0.25406712   
    the 16900th batch, loss is: 0.24258798   
    the 16950th batch, loss is: 0.23761483   
    the 17000th batch, loss is: 0.28504106   
    the 17050th batch, loss is: 0.28296039   
    the 17100th batch, loss is: 0.2532787    
    the 17150th batch, loss is: 0.31593305   
    the 17200th batch, loss is: 0.25572801   
    the 17250th batch, loss is: 0.26351199   
    the 17300th batch, loss is: 0.28762648   
    the 17350th batch, loss is: 0.26804501   
    the 17400th batch, loss is: 0.27223703   
    the 17450th batch, loss is: 0.29549399   
    the 17500th batch, loss is: 0.26474985   
    the 17550th batch, loss is: 0.20781997   
    the 17600th batch, loss is: 0.24598528   
    the 17650th batch, loss is: 0.29808789   
    the 17700th batch, loss is: 0.26379251   
    the 17750th batch, loss is: 0.29793495   
    the 17800th batch, loss is: 0.2619012    
    the 17850th batch, loss is: 0.2665062    
    the 17900th batch, loss is: 0.30434704   
    the 17950th batch, loss is: 0.25569648   
('Epoch: ', 6, 'lr is: [0.001]')
    the 18000th batch, loss is: 0.22332323   
    the 18050th batch, loss is: 0.20529629   
    the 18100th batch, loss is: 0.22660668   
    the 18150th batch, loss is: 0.20300767   
    the 18200th batch, loss is: 0.25452656   
    the 18250th batch, loss is: 0.22471276   
    the 18300th batch, loss is: 0.20666699   
    the 18350th batch, loss is: 0.22227259   
    the 18400th batch, loss is: 0.20477976   
    the 18450th batch, loss is: 0.22474357   
    the 18500th batch, loss is: 0.24189657   
    the 18550th batch, loss is: 0.26226786   
    the 18600th batch, loss is: 0.22609119   
    the 18650th batch, loss is: 0.27409247   
    the 18700th batch, loss is: 0.22419895   
    the 18750th batch, loss is: 0.24388836   
    the 18800th batch, loss is: 0.23001009   
    the 18850th batch, loss is: 0.22701259   
    the 18900th batch, loss is: 0.24237934   
    the 18950th batch, loss is: 0.24060865   
    the 19000th batch, loss is: 0.27059287   
    the 19050th batch, loss is: 0.24613284   
    the 19100th batch, loss is: 0.23070306   
    the 19150th batch, loss is: 0.2153237    
    the 19200th batch, loss is: 0.2906473    
    the 19250th batch, loss is: 0.26158139   
    the 19300th batch, loss is: 0.23234662   
    the 19350th batch, loss is: 0.25903627   
    the 19400th batch, loss is: 0.26650855   
    the 19450th batch, loss is: 0.24699636   
    the 19500th batch, loss is: 0.27526563   
    the 19550th batch, loss is: 0.25002733   
    the 19600th batch, loss is: 0.27972025   
    the 19650th batch, loss is: 0.19805041   
    the 19700th batch, loss is: 0.33595195   
    the 19750th batch, loss is: 0.25114003   
    the 19800th batch, loss is: 0.24262062   
    the 19850th batch, loss is: 0.23063183   
    the 19900th batch, loss is: 0.25220686   
    the 19950th batch, loss is: 0.22806801   
    the 20000th batch, loss is: 0.23546599   
    the 20050th batch, loss is: 0.26739141   
    the 20100th batch, loss is: 0.24775536   
    the 20150th batch, loss is: 0.21462972   
    the 20200th batch, loss is: 0.22221078   
    the 20250th batch, loss is: 0.22629455   
    the 20300th batch, loss is: 0.23876844   
    the 20350th batch, loss is: 0.23135896   
    the 20400th batch, loss is: 0.22905333   
    the 20450th batch, loss is: 0.22779812   
    the 20500th batch, loss is: 0.24060051   
    the 20550th batch, loss is: 0.22246456   
    the 20600th batch, loss is: 0.25410786   
    the 20650th batch, loss is: 0.30528554   
    the 20700th batch, loss is: 0.25772858   
    the 20750th batch, loss is: 0.27097395   
    the 20800th batch, loss is: 0.27224997   
    the 20850th batch, loss is: 0.29528695   
    the 20900th batch, loss is: 0.25294614   
    the 20950th batch, loss is: 0.24020635   
('Epoch: ', 7, 'lr is: [0.001]')
    the 21000th batch, loss is: 0.18442386   
    the 21050th batch, loss is: 0.19394356   
    the 21100th batch, loss is: 0.19349778   
    the 21150th batch, loss is: 0.19645451   
    the 21200th batch, loss is: 0.2352924    
    the 21250th batch, loss is: 0.22162364   
    the 21300th batch, loss is: 0.22168063   
    the 21350th batch, loss is: 0.19709125   
    the 21400th batch, loss is: 0.19392219   
    the 21450th batch, loss is: 0.22075365   
    the 21500th batch, loss is: 0.22464049   
    the 21550th batch, loss is: 0.22931285   
    the 21600th batch, loss is: 0.19494411   
    the 21650th batch, loss is: 0.21998796   
    the 21700th batch, loss is: 0.22488052   
    the 21750th batch, loss is: 0.23318245   
    the 21800th batch, loss is: 0.18562572   
    the 21850th batch, loss is: 0.22755946   
    the 21900th batch, loss is: 0.17148806   
    the 21950th batch, loss is: 0.2401409    
    the 22000th batch, loss is: 0.22947405   
    the 22050th batch, loss is: 0.19982824   
    the 22100th batch, loss is: 0.24136744   
    the 22150th batch, loss is: 0.28573912   
    the 22200th batch, loss is: 0.19206133   
    the 22250th batch, loss is: 0.20126048   
    the 22300th batch, loss is: 0.21221462   
    the 22350th batch, loss is: 0.21626858   
    the 22400th batch, loss is: 0.18608804   
    the 22450th batch, loss is: 0.24631757   
    the 22500th batch, loss is: 0.20766744   
    the 22550th batch, loss is: 0.19896737   
    the 22600th batch, loss is: 0.21680959   
    the 22650th batch, loss is: 0.22087128   
    the 22700th batch, loss is: 0.20591791   
    the 22750th batch, loss is: 0.21266352   
    the 22800th batch, loss is: 0.22060961   
    the 22850th batch, loss is: 0.21316345   
    the 22900th batch, loss is: 0.20081812   
    the 22950th batch, loss is: 0.25195232   
    the 23000th batch, loss is: 0.22042224   
    the 23050th batch, loss is: 0.22916642   
    the 23100th batch, loss is: 0.20572725   
    the 23150th batch, loss is: 0.19553666   
    the 23200th batch, loss is: 0.17989787   
    the 23250th batch, loss is: 0.22308002   
    the 23300th batch, loss is: 0.24216729   
    the 23350th batch, loss is: 0.2450989    
    the 23400th batch, loss is: 0.23719186   
    the 23450th batch, loss is: 0.22058739   
    the 23500th batch, loss is: 0.2021686    
    the 23550th batch, loss is: 0.20343906   
    the 23600th batch, loss is: 0.23496576   
    the 23650th batch, loss is: 0.20606019   
    the 23700th batch, loss is: 0.19612128   
    the 23750th batch, loss is: 0.23042919   
    the 23800th batch, loss is: 0.22802293   
    the 23850th batch, loss is: 0.17509323   
    the 23900th batch, loss is: 0.23506679   
    the 23950th batch, loss is: 0.22799686   
('Epoch: ', 8, 'lr is: [0.001]')
    the 24000th batch, loss is: 0.15592346   
    the 24050th batch, loss is: 0.1986815    
    the 24100th batch, loss is: 0.17197703   
    the 24150th batch, loss is: 0.17942159   
    the 24200th batch, loss is: 0.19181056   
    the 24250th batch, loss is: 0.2025194    
    the 24300th batch, loss is: 0.20281798   
    the 24350th batch, loss is: 0.20861293   
    the 24400th batch, loss is: 0.20963061   
    the 24450th batch, loss is: 0.17550164   
    the 24500th batch, loss is: 0.17306176   
    the 24550th batch, loss is: 0.21924199   
    the 24600th batch, loss is: 0.20198977   
    the 24650th batch, loss is: 0.22516336   
    the 24700th batch, loss is: 0.17695467   
    the 24750th batch, loss is: 0.18150097   
    the 24800th batch, loss is: 0.19882514   
    the 24850th batch, loss is: 0.1928052    
    the 24900th batch, loss is: 0.19917502   
    the 24950th batch, loss is: 0.20353462   
    the 25000th batch, loss is: 0.21630634   
    the 25050th batch, loss is: 0.17926601   
    the 25100th batch, loss is: 0.20606793   
    the 25150th batch, loss is: 0.20716056   
    the 25200th batch, loss is: 0.19908725   
    the 25250th batch, loss is: 0.19784462   
    the 25300th batch, loss is: 0.16559049   
    the 25350th batch, loss is: 0.22176446   
    the 25400th batch, loss is: 0.2139557    
    the 25450th batch, loss is: 0.17854437   
    the 25500th batch, loss is: 0.18767238   
    the 25550th batch, loss is: 0.17961442   
    the 25600th batch, loss is: 0.22461106   
    the 25650th batch, loss is: 0.15982866   
    the 25700th batch, loss is: 0.23120898   
    the 25750th batch, loss is: 0.2294586    
    the 25800th batch, loss is: 0.19310717   
    the 25850th batch, loss is: 0.19721495   
    the 25900th batch, loss is: 0.21902898   
    the 25950th batch, loss is: 0.22480708   
    the 26000th batch, loss is: 0.18786657   
    the 26050th batch, loss is: 0.19014987   
    the 26100th batch, loss is: 0.18786526   
    the 26150th batch, loss is: 0.21110851   
    the 26200th batch, loss is: 0.20705271   
    the 26250th batch, loss is: 0.23632385   
    the 26300th batch, loss is: 0.2191063    
    the 26350th batch, loss is: 0.20354992   
    the 26400th batch, loss is: 0.18723384   
    the 26450th batch, loss is: 0.19815923   
    the 26500th batch, loss is: 0.1838617    
    the 26550th batch, loss is: 0.21684277   
    the 26600th batch, loss is: 0.21497679   
    the 26650th batch, loss is: 0.24344639   
    the 26700th batch, loss is: 0.18971057   
    the 26750th batch, loss is: 0.18854211   
    the 26800th batch, loss is: 0.16707158   
    the 26850th batch, loss is: 0.19594014   
    the 26900th batch, loss is: 0.2124079    
    the 26950th batch, loss is: 0.21287757   
('Epoch: ', 9, 'lr is: [0.001]')
    the 27000th batch, loss is: 0.16846792   
    the 27050th batch, loss is: 0.17372121   
    the 27100th batch, loss is: 0.1604193    
    the 27150th batch, loss is: 0.1370337    
    the 27200th batch, loss is: 0.17027552   
    the 27250th batch, loss is: 0.22483851   
    the 27300th batch, loss is: 0.19980599   
    the 27350th batch, loss is: 0.17064646   
    the 27400th batch, loss is: 0.1561828    
    the 27450th batch, loss is: 0.1503751    
    the 27500th batch, loss is: 0.17832148   
    the 27550th batch, loss is: 0.15277256   
    the 27600th batch, loss is: 0.16790274   
    the 27650th batch, loss is: 0.1824141    
    the 27700th batch, loss is: 0.1707138    
    the 27750th batch, loss is: 0.17481105   
    the 27800th batch, loss is: 0.18865198   
    the 27850th batch, loss is: 0.18243583   
    the 27900th batch, loss is: 0.21367759   
    the 27950th batch, loss is: 0.18565322   
    the 28000th batch, loss is: 0.15423638   
    the 28050th batch, loss is: 0.18389982   
    the 28100th batch, loss is: 0.15537091   
    the 28150th batch, loss is: 0.18161787   
    the 28200th batch, loss is: 0.19368893   
    the 28250th batch, loss is: 0.1687936    
    the 28300th batch, loss is: 0.16406365   
    the 28350th batch, loss is: 0.14771356   
    the 28400th batch, loss is: 0.17082152   
    the 28450th batch, loss is: 0.21416405   
    the 28500th batch, loss is: 0.19708337   
    the 28550th batch, loss is: 0.16601712   
    the 28600th batch, loss is: 0.19258782   
    the 28650th batch, loss is: 0.18604304   
    the 28700th batch, loss is: 0.17776407   
    the 28750th batch, loss is: 0.17831586   
    the 28800th batch, loss is: 0.20924866   
    the 28850th batch, loss is: 0.19184072   
    the 28900th batch, loss is: 0.18353258   
    the 28950th batch, loss is: 0.17621955   
    the 29000th batch, loss is: 0.18020497   
    the 29050th batch, loss is: 0.18212254   
    the 29100th batch, loss is: 0.19727202   
    the 29150th batch, loss is: 0.17019413   
    the 29200th batch, loss is: 0.18923396   
    the 29250th batch, loss is: 0.18710802   
    the 29300th batch, loss is: 0.19938351   
    the 29350th batch, loss is: 0.20208624   
    the 29400th batch, loss is: 0.20201938   
    the 29450th batch, loss is: 0.17294747   
    the 29500th batch, loss is: 0.17224982   
    the 29550th batch, loss is: 0.1573946    
    the 29600th batch, loss is: 0.17587267   
    the 29650th batch, loss is: 0.1883889    
    the 29700th batch, loss is: 0.18079671   
    the 29750th batch, loss is: 0.15245077   
    the 29800th batch, loss is: 0.18205836   
    the 29850th batch, loss is: 0.27241603   
    the 29900th batch, loss is: 0.17289177   
('Epoch: ', 10, 'lr is: [0.001]')
    the 29950th batch, loss is: 0.15580137   
    the 30000th batch, loss is: 0.15464272   
    the 30050th batch, loss is: 0.18306914   
    the 30100th batch, loss is: 0.14247432   
    the 30150th batch, loss is: 0.1541816    
    the 30200th batch, loss is: 0.13494687   
    the 30250th batch, loss is: 0.16663022   
    the 30300th batch, loss is: 0.15483272   
    the 30350th batch, loss is: 0.16224131   
    the 30400th batch, loss is: 0.16648316   
    the 30450th batch, loss is: 0.14694114   
    the 30500th batch, loss is: 0.15787111   
    the 30550th batch, loss is: 0.15715054   
    the 30600th batch, loss is: 0.16636057   
    the 30650th batch, loss is: 0.14494462   
    the 30700th batch, loss is: 0.18613967   
    the 30750th batch, loss is: 0.1448058    
    the 30800th batch, loss is: 0.16816311   
    the 30850th batch, loss is: 0.14574027   
    the 30900th batch, loss is: 0.15615979   
    the 30950th batch, loss is: 0.18946889   
    the 31000th batch, loss is: 0.15750688   
